Edwin I. Hatch Nuclear Plant - GA Power,11028 Hatch Parkway North,Baxley,31513,31.7719,-82.3482,Title V,Nuclear Base-Load Power Generation
Baxley Veneer & Cleat Co,Hwy 341 West,Baxley,31513,31.7719,-82.3482,Minor,Lumber Mill
INTERFOR U.S. INC. - BAXLEY SAWMILL,1830 Golden Isles East,Baxley,31513,31.768337,-82.318475,Title V,Lumber Sawmill
Baxley Creosote Co,US Hwy 341 East,Baxley,31513,31.7719,-82.3482,Minor,Wood Preserving
Bax-Steel Buildings Inc,East Jekyll Road,Baxley,31513,31.76798,-82.33082,Minor,Miscellaneous Metal Work
Thompsons Farm Supply Inc,382 E Parker St,Baxley,31513,31.7719,-82.3482,Minor,Feed Mill
Lawter Inc.,1202 E. Parker Street,Baxley,31513,31.773668,-82.333775,Synthetic Minor,Resin/Rosin Manufacturing
Southeastern Gin Co,1019 Morris Rd,Surrency,31563,31.600056,-82.245138,Permit By Rule,New Cotton Gin
Baxley Equipment Co,419 Frost Industrial Blvd,Baxley,31513,31.770905,-82.320767,Synthetic Minor,Wood Equipment Mfg
J M Miles Const Co,637 Brobston St,Baxley,31513,31.788368,-82.352182,Permit By Rule,Surface Coating Operation
Everett Dykes Grassing Co. LLC Surrency,7558 Golden Isle Highway 341 East,Surrency,31563,31.7257,-82.19812,Synthetic Minor,Hot Mix Asphalt Plant With Rap Crusher
Down To Earth Trailers,1605 E Parker St,Baxley,31513,31.77832,-82.34796,Synthetic Minor,Coats Metal Trailers
Harris Waste Management Group Inc.,100 Jekyll Rd,Baxley,31513,31.771498,-82.337445,Synthetic Minor,Bailing Machines Mfg
Appling County Pellets,248 Sweetwater Dr,Baxley,31513,31.7719,-82.3482,Title V,Wood Fuel Pellet Plant
Courson's Paint & Body Shop,1284 Hatch Parkway North,Baxley,31513,31.79295,-82.35136,Minor,Automotive Painting And Refinishing
Glynn's Body Shop,559 Mills Road,Baxley,31513,31.85443,-82.23588,Minor,Automotive Painting And Refinishing
Hallman's Body Shop Inc.,577 Blackshear Hwy.,Baxley,31513,31.73391,-82.34539,Minor,Automotive Painting And Refinishing
Surrency Feed Mill,11500 Golden Isle East,Surrency,31563,31.727872,-82.204012,Minor,Poultry Feed Mill
Larry Benton Cabinets,100 Red McKinnon Rd,Willacoochee,31650,31.42244,-82.895161,Permit By Rule,Wood Furniture Mfg
Langboard - Willacoochee,548 Langboard Rd,Willacoochee,31650,31.314948,-83.037957,Title V,Medium Density Fiberboard (Mdf) Plant
Cady Bag Company LLC,41 Project Circle,Pearson,31642,31.301572,-82.853257,Synthetic Minor,Polypropylene Bags Mfg
