Argos Port Savannah,148 Marine Terminal Drive,Savannah,31401,32.081,-81.091,Chatham,Operational,Synthetic Minor,Cement Unloading And Wholesale Distribution
C and H Paving Inc - Sparta,414 Rock Quarry Road,Sparta,31087,33.282,-82.907,Hancock,Closed/Dismantled,Permit by Rule,Hot Mix Asphalt Plant
Cintas Corporation,3600 Kennesaw 75 Parkway,Kennesaw,30152,34.042,-84.609,Cobb,Operational,Synthetic Minor,Industrial Laundering
Cintas Corporation,5180 Panola Industrial Road,Decatur,30035,33.706,-84.178,Dekalb,Operational,Synthetic Minor,Industrial Laundering
Cintas Corporation,1700 West Town Road,Albany,31707,31.563,-84.187,Dougherty,Operational,Synthetic Minor,Industrial Laundering
Cintas Corporation,1055 Progress Industrial Boulevard,Lawrenceville,30043,33.995,-83.956,Gwinnett,Operational,Synthetic Minor,Industrial Laundering
Mountainview Quarry,Gum Creek Road,Oxford,30054,33.682,-83.89,Newton,Closed/Dismantled,Minor,Operation Of A Rock Quarry
MULTITRADE RABUN GAP LLC,1585 York House Road,Rabun Gap,30568,34.954,-83.378,Rabun,Operational,Title V,20 Megawatt Wood-Fired Power Plant.
APAC Georgia Inc,25 Old Rock Quarry Road,Villa Rica,30180,33.67,-84.925,Carroll,Closed/Dismantled,Synthetic Minor,2-Barrel Drum Mix Asphalt
Rexam Beverage Can Company,48 Royal Drive,Forest Park,30050,33.63,-84.389,Clayton,Closed/Dismantled,Title V,2-Piece Can Mfg
Plant Washington,Mayview Road,Sandersville,31082,33.008,-82.793,Washington,Closed/Dismantled,Title V,850 Mw Coal-Fired Power Plant
Hood Packaging Corporation,390 Southwell Blvd,Tifton,31794,31.414,-83.485,Tift,Operational,Synthetic Minor,9-Flexographic Presses
Pilgrim's Pride Corporation,979 Bradford Street Ext,Gainesville,30501,34.29,-83.816,Hall,Operational,Minor,A Poultry Feed Mill
Novelis Inc,1261 Willow Run Road,Greensboro,30642,33.554,-83.199,Greene,Operational,Title V,A Secondary Aluminum Processing Facility
GEORGIA INSTITUTE OF TECHNOLOGY,151 Sixth Street NW,Atlanta,30332,33.779,-84.392,Fulton,Operational,Title V,A State University.
GA POWER CO PLT MCINTOSH,900 Old Augusta Road,Rincon,31326,32.356,-81.168,Effingham,Operational,Title V,A Steam Electricity Generating Plant
Southwire Company - Villa Rica Plant,540 West Industrial Court,Villa Rica,30180,33.74,-84.944,Carroll,Operational,Minor,A Wire Manufacturing Facility.
Atlantic Wood Pellets Athens LLC,10910 Commerce Road,Athens,30607,34.038,-83.402,Jackson,Closed/Dismantled,Synthetic Minor,A Wood Pellet Plant That Will Use The Front End Processing Equipment From The Louisiana-Pacific'S Osb Mill That Was Located At The Same Site
Continental Commercial Products Llc-Glit Div,809 Broad Street,Wrens,30833,33.21,-82.376,Jefferson,Closed/Dismantled,Synthetic Minor,Abrasive Products Manufacturing
Novipax,1 Paper Pak Industries,Washington,30673,33.737,-82.739,Wilkes,Closed/Dismantled,Minor,Absorbent Paper Manufacturing
Armstrong World Industries Inc,4520 Broadway,Macon,31206,32.779,-83.655,Bibb,Operational,Title V,Acoustical Ceiling Tile
Tiarco-RST,1010 Vista Drive,Dalton,30721,34.798,-84.931,Whitfield,Operational,Synthetic Minor,Acrylate Polymerization
Northstar Chemicals Inc,19 Smiley Ingram Road,Cartersville,30121,34.206,-84.754,Bartow,Closed/Dismantled,Synthetic Minor,Adhesive Manufacturing
NorthStar Chemicals Inc,189 Etowah Industrial Court,Canton,30115,34.248,-84.471,Cherokee,Closed/Dismantled,Synthetic Minor,Adhesive Manufacturing Plant
Fayette County Justice Center & Jail Exp,1 Center Drive,Fayetteville,30214,33.442,-84.448,Fayette,Closed/Dismantled,Minor,Administration Bldg
Amrep Inc,990 Industrial Park Drive,Marietta,30062,33.976,-84.54,Cobb,Closed/Dismantled,Synthetic Minor,Aerosol Can Filling
ITW Pro Brands,4647 Hugh Howell Road,Tucker,30084,33.849,-84.199,Dekalb,Operational,Synthetic Minor,Aerosol Can Filling
Piedmont LLC,2030 Old Candler Road,Gainesville,30507,34.265,-83.816,Hall,Operational,Synthetic Minor,Aerosol Can Filling & Non-Reactive Chemical Mixing Facility
Apollo Industries - Smyrna Plant,1850 S Cobb Industrial Blvd,Smyrna,30082,33.838,-84.5,Cobb,Closed/Dismantled,Synthetic Minor,Aerosol Filling
Apollo Industries - Dalton Plant,310 Brookhollow Industrial Blvd,Dalton,30721,34.71,-84.957,Whitfield,Temporarily Closed,Synthetic Minor,Aerosol Filling Operations
Aerospace Defense Coating of Georgia Inc,7700 NE Industrial Boulevard,Macon,31216,32.698,-83.663,Bibb,Operational,Synthetic Minor,Aerospace Maintenance Facility
Vulcan Construction Materials LLC - Villa Rica Quarry,25 Old Rock Quarry Road,Villa Rica,30180,33.667,-84.937,Carroll,Operational,Synthetic Minor,Aggregate Quarry
Hanson Aggregates LLC - Athens Quarry,1300 Winterville Road,Athens,30605,33.958,-83.335,Clarke,Operational,Synthetic Minor,Aggregate Quarry
Florida Rock Industries Inc - Forest Park Quarry,256 Lees Mill Road,Forest Park,30274,33.604,-84.395,Clayton,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC - Kennesaw Quarry,1272 Duncan Road,Kennesaw,30144,34.02,-84.581,Cobb,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC - Madras Quarry,256 Elzie Johnson Road,Madras,30221,33.448,-84.689,Coweta,Operational,Synthetic Minor,Aggregate Quarry
Hanson Aggregates LLC - Lithonia Quarry,6978 Rogers Lake Road,Lithonia,30058,33.723,-84.108,Dekalb,Operational,Synthetic Minor,Aggregate Quarry
Martin Marietta Materials Inc - Lithonia Quarry,7621 Rock MtnRoad,Lithonia,30058,33.749,-84.08,Dekalb,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC - Lithonia Quarry,8648 Covington Hwy,Lithonia,30058,33.7,-84.076,Dekalb,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC - Lithia Springs Quarry,7620 N County Line Road,Lithia Springs,30122,33.787,-84.668,Douglas,Operational,Synthetic Minor,Aggregate Quarry
Bluegrass Materials Company LLC- Douglasville Quarry,6505 Bankhead Hwy,Douglasville,30134,33.739,-84.788,Douglas,Operational,Synthetic Minor,Aggregate Quarry
Martin Marietta Materials Inc - Tyrone Quarry,245 Rockwood Road,Tyrone,30290,33.442,-84.612,Fayette,Operational,Synthetic Minor,Aggregate Quarry
Hanson Aggregates LLC - Fayette County Quarry,100 Peggy Lane,Tyrone,30290,33.471,-84.601,Fayette,Operational,Synthetic Minor,Aggregate Quarry
Florida Rock Industries Inc,1300 Redmond Road,Rome,30161,34.285,-85.204,Floyd,Closed/Dismantled,Synthetic Minor,Aggregate Quarry
Bluegrass Materials Company LLC - Cumming Quarry,2015 Ronald Reagan Boulevard,Cumming,30041,34.172,-84.148,Forsyth,Operational,Synthetic Minor,Aggregate Quarry
Martin Marietta Materials Inc - Red Oak Quarry,5414 Buffington Road,Red Oak,30272,33.609,-84.5,Fulton,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC - Norcross Quarry,1707 Beaver Ruin Road,Norcross,30093,33.921,-84.139,Gwinnett,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC - Grayson Quarry,1055 Ozora Road,Grayson,30221,33.894,-83.955,Gwinnett,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC - Friendship Quarry,4195 Friendship Road,Buford,30518,34.125,-83.921,Hall,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Constructions Materials LLC - Stockbridge Quarry,152 Rock Quarry Road,Stockbridge,30281,33.545,-84.234,Henry,Operational,Synthetic Minor,Aggregate Quarry
Aggregates USA (Macon) LLC,1263 Lite-N-Tie Road,Macon,31211,32.841,-83.633,Jones,Operational,Synthetic Minor,Aggregate Quarry
Martin Marietta Aggregates,Ruby Quarry Hwy,Macon,31032,33.01,-83.534,Jones,Operational,Synthetic Minor,Aggregate Quarry
Florida Rock Industries Inc - Macon Quarry,3582 Pea Ridge Road,Juliette,31046,32.841,-83.633,Monroe,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC - Barin Quarry,9205 Fortson Road,Fortson,31808,32.567,-84.95,Muscogee,Operational,Synthetic Minor,Aggregate Quarry
Vulcan Construction Materials LLC- Rabun Quarry,2138 Kelly'S Creek Road,Rabun Gap,30568,34.968,-83.388,Rabun,Operational,Synthetic Minor,Aggregate Quarry
